#{"t_start": 1680170597.424357, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0,14,83.9089
0,10,83.934103
0.9928,1,83.936795
0.9784,3,83.943996
0.82,25,84.589877
0.9136,12,84.62122
0,1,84.624209
0,5,84.6369
0.9856,2,84.642127
0,20,84.693656
0.8344,23,84.751674
0,4,84.761271
0.8776,17,84.80768
0.9496,7,84.829869
0.568,60,85.644222
0,20,85.692478
0,8,85.711897
0,5,85.723825
0.9424,8,85.743776
0,125,86.742229
0.8056,27,86.811518
0,23,86.869919
0.9424,8,86.890428
0,26,87.579878
0,11,87.615499
0,125,88.810964
0.3952,84,89.052475
0.9784,3,89.061808
0.6616,47,89.818879
0.9568,6,89.835066
0.9064,13,89.868137
0,21,89.921942
0,8,89.942067
0.8272,24,90.004249
0,35,90.775242
0,1,90.77802
0,19,90.82673
0,6,90.841878
0,22,90.895395
0.9784,3,90.903661
0.9424,8,90.924045
0.9496,7,90.942455
0.9856,2,90.947824
0,5,90.960241
0,2,90.965279
0,125,91.943625
0.7048,41,92.04913
0,30,92.706361
0.9712,4,92.717376
0.9784,3,92.724858
0,2,92.73052
0.9496,7,92.748123
0,12,92.777713
0,125,93.77566
0,55,93.911525
0.9928,1,93.914274
0.9424,8,93.934728
0.964,5,93.948559
0.9928,1,93.951898
0.9496,7,94.658735
0,2,94.663819
0.9856,2,94.669806
0.9496,7,94.68742
0,1,94.690118
0.9712,4,94.699385
0,4,94.709827
0.964,5,94.722839
0,9,94.744659
0,40,94.843382
0,125,95.8499
0,1,95.852649
0.7768,31,95.928536
0,31,96.582144
0.9568,6,96.597358
0.9712,4,96.607712
0.9208,11,96.635328
0,4,96.645138
0,23,96.702765
0,55,96.887015
0.8056,27,97.576385
0.9784,3,97.584117
0.6472,49,97.712605
0.9784,3,97.721158
0,5,97.734782
0,2,97.740302
0.9496,7,97.759256
0,4,97.770439
0.424,80,98.675774
0.964,5,98.689274
0,9,98.712675
0,2,98.71809
0,1,98.720849
0,14,98.756947
0.9856,2,98.762189
0.9712,4,98.773154
0.9928,1,98.776086
0,5,98.789341
0.8992,14,98.826159
0,5,98.840134
0,3,98.848547
0,8,98.872218
0,31,99.644175
0,3,99.652975
0.9928,1,99.655708
0.9784,3,99.664655
0,3,99.67324
0,4,99.684007
0,125,100.583441
0.9568,6,100.603918
0,22,100.67305
0,8,100.697105
0,28,100.791289
0,119,101.687201
0.9928,1,101.6899
0,26,101.755789
0,7,101.773168
0,125,102.782184
0.1216,122,103.791576
0,10,103.827021
0,125,104.758431
0,125,105.834116
0.8416,22,105.892003
0,23,106.554117
0,7,106.579951
0,4,106.594057
0,3,106.605544
0,11,106.639873
0.9424,8,106.668884
0.964,5,106.686752
0,125,107.611293
0,80,108.394403
0.9424,8,108.415683
0,3,108.424767
0,125,109.319153
0.5392,64,109.474981
0,5,109.48649
0.9784,3,109.494313
0.9712,4,109.505147
0.9424,8,109.524798
0,7,109.542369
0,37,110.206983
0.9424,8,110.227287
0,1,110.229983
0.3376,92,110.460359
0,21,111.078204
0,47,111.198682
0,28,111.269069
0.9928,1,111.27154
0,43,111.94759
0,17,112.252495
0.9568,6,112.268126
0,19,112.316646
0.9568,6,112.332033
0.6544,48,112.455435
0.8128,26,112.524958
0.9928,1,112.528039
0,29,113.167448
0.9928,1,113.170188
0,5,113.182592
0.9784,3,113.190348
0,42,113.299116
0.9928,1,113.302216
0.7192,39,113.403247
0,43,114.090417
0,47,114.204495
0.9856,2,114.209441
0.9208,11,114.237657
0.9928,1,114.240584
0.9424,8,114.261079
0.8992,14,114.296373
0,125,115.207053
0.7408,36,115.872561
0.7552,34,115.959513
0,125,116.846534
0,21,116.900462
0,7,116.918143
0,6,116.933738
0,5,116.946615
0,13,116.978988
0,102,117.811616
0,1,117.814873
0,10,117.840012
0.9856,2,117.84549
0,1,117.84851
0.9928,1,117.851234
0.9208,11,117.879371
0,25,118.525505
0,4,118.535667
0.784,30,118.610785
0,24,118.675361
0.9784,3,118.683424
0,10,118.708385
0.9568,6,118.724329
0.964,5,118.737935
0,10,118.76443
0,1,118.767247
0,15,118.808036
0.964,5,118.820885
0.4168,81,119.597743
0,2,119.602728
0,2,119.607609
0,10,119.63125
0,3,119.638375
0,125,120.526444
0.8992,14,120.564608
0.9928,1,120.56765
0.9568,6,120.582702
0.9424,8,120.604567
0,44,121.306203
0.9352,9,121.328907
0,7,121.346452
0,31,121.424826
0.9568,6,121.440033
0,125,122.326759
0.9352,9,122.349704
0.5608,61,123.091085
0.7048,41,123.195056
0,29,123.269169
0.8776,17,123.311248
0.7552,34,123.97297
0,5,123.984642
0.964,5,123.996959
0.9568,6,124.012502
0,2,124.017719
0,3,124.025234
0,7,124.041873
0.9352,9,124.06453
0,10,124.089675
0,1,124.093032
0.9208,11,124.12517
0,5,124.138264
0.964,5,124.151083
0.9856,2,124.157243
0,11,124.185257
0.892,15,124.222264
0.8776,17,124.265677
0.8848,16,124.894803
0,1,124.897724
0,2,124.902905
0,4,124.913094
0,32,124.995818
0.9352,9,125.019501
0,4,125.030525
0.9712,4,125.040586
0,5,125.053404
0,2,125.058601
0,3,125.066636
0.5896,57,125.797996
0.5392,64,125.960065
0,19,126.008772
0,5,126.021472
0.9136,12,126.051492
0,3,126.058944
0,125,126.943764
0,12,126.972729
0,10,127.58609
0.8344,23,127.645118
0.8776,17,127.687998
0,3,127.696086
0.9424,8,127.716379
0.64,50,127.839764
0,2,127.844786
0,5,127.857648
0.9928,1,127.860502
0.9784,3,127.868582
0.892,15,128.49479
0,4,128.505382
0.9928,1,128.508138
0.9856,2,128.513797
0.7912,29,128.586883
0,3,128.595262
0,4,128.605605
0.9568,6,128.620653
0.9496,7,128.638735
0.82,25,128.70197
0,32,128.782054
0.892,15,129.410911
0,5,129.424056
0,125,130.317067
0,2,130.322571
0,12,130.355015
0,5,130.368316
0,16,130.410133
0,4,130.420721
0,38,130.518608
0,13,130.551077
0.8488,21,130.600675
0.9712,4,130.610916
0.9928,1,130.613764
0.532,65,131.329523
0,62,131.479235
0.9568,6,131.493332
0,30,132.138541
0.892,15,132.175051
0.3376,92,132.990326
0.9784,3,132.998048
0,2,133.003755
0,125,133.890845
0.9136,12,133.919353
0.9352,9,133.942146
0,3,133.949494
0.928,10,133.973445
0,5,133.985778
